,algorithm,map,map_50,map_75,map_small,map_medium,map_large,mar_1,mar_10,mar_100,mar_small,mar_medium,mar_large,map_per_class,mar_100_per_class
0,Supervised,0.0726,0.1697,0.0534,0.0102,0.0827,-1.0,0.1376,0.1666,0.1666,0.0484,0.1921,-1.0,-1.0,-1.0
1,SimSiam,0.0795,0.1969,0.0479,0.009,0.0942,-1.0,0.1418,0.1907,0.1907,0.0712,0.2282,-1.0,-1.0,-1.0
2,BYOL,0.0675,0.1669,0.0434,0.0065,0.0837,-1.0,0.1388,0.1765,0.1765,0.0519,0.2109,-1.0,-1.0,-1.0
3,Barlow Twins,0.0802,0.1907,0.0565,0.0119,0.0949,-1.0,0.151,0.1862,0.1862,0.0579,0.2223,-1.0,-1.0,-1.0
4,MoCo,0.0772,0.1861,0.0533,0.0089,0.0908,-1.0,0.1483,0.1827,0.1827,0.0577,0.2156,-1.0,-1.0,-1.0
5,SimCLR,0.0706,0.178,0.0387,0.0095,0.0895,-1.0,0.1449,0.1789,0.1789,0.0541,0.2167,-1.0,-1.0,-1.0
6,SwAV,0.0723,0.1818,0.0455,0.0056,0.0894,-1.0,0.1471,0.1888,0.1888,0.0484,0.2333,-1.0,-1.0,-1.0
7,Our,0.0726,0.1733,0.0528,0.0056,0.0883,-1.0,0.1522,0.1802,0.1802,0.0509,0.2137,-1.0,-1.0,-1.0
8,Our-Without-AutoEncoder,0.0673,0.162,0.0521,0.0069,0.0774,-1.0,0.1383,0.1693,0.1693,0.0507,0.1973,-1.0,-1.0,-1.0
9,v8,0.0675,0.1491,0.0498,0.0063,0.0789,-1.0,0.1394,0.1673,0.1673,0.0527,0.1962,-1.0,-1.0,-1.0
10,v11,0.0706,0.166,0.0579,0.007,0.0807,-1.0,0.14,0.1695,0.1695,0.0579,0.1943,-1.0,-1.0,-1.0
